.467 .451 .423 .412 .623
.430 .237 .534 .218 .199
.192 .313 .393 .304 .215
.192 .136 .273 .261 .321
.293 .245 .149 .206 .273
.160 .391 .225 .231 .259
.164 .349 .159 .182 .206
.126 .158 .170 .267 .376
.328 .252 .329 .198 .228
.202 .416 .183 .191 .155
.282 .232 .262 .258 .186
.328 .183 .250 .179 .097
.247 .254 .179 .197 .179
.132 .195 .329 .188 .174
.138 .141 .253 .202 .386
.224 .151 .270 .150 .393
.512 .073 .310 .201 .198
.221 .300 .321 .255 .243
.252 .231 .333 .293 .326
.193 .075 .284 .255 .250
.263 .208 .380 .189 .590
.186 .267 .222 .414 .461
.346 .187 .178 .292 .361
.219 .244 .265 .253 .321
.177 .245 .289 .168 .236
.349 .231 .199 .295 .139
.272 .167 .309 .215 .316
.245 .337 .279 .213 .313
.213 .251 .194 .267 .263
.197 .209 .203 .216 .180
.229 .181 .139 .264 .184
.245 .411 .162 .138 .354
.210 .191 .251 .239 .264
.281 .288 .619 .288 .269
.175 .280 .343 .311 .171
.273 .119 .155 .414 .359
.439 .394 .340 .462 .338
.471 .443 .332 .361 .163
